insulation,temp,age,home_size,oil_usage
9.430491752,24,36.6,8.658282749,163
4.135308956,13,62.6,8.564088593,285
5.365062036,29,29,8.734997269,141
8.370660339,32,32.1,1.760448916,150
3.021332524,14,49.3,3.043572397,206
8.229884881,30,19.8,1.71435666,118
6.122603492,22,38.7,5.872823189,170
8.688604854,25,35.5,1.242422663,162
5.033007415,24,21.5,4.191743731,132
2.874540482,6,64.4,7.890928629,284
2.651277284,11,69.8,7.293343731,259
7.558183528,29,29.1,8.825920502,148
9.164440053,24,26.3,6.429728937,137
1.707663459,10,52.8,4.91673515,244
7.181755601,24,24.9,5.442415355,136
4.620823739,11,42.5,1.725229266,182
5.393032433,25,39,1.900593551,171
7.080762694,27,34.6,2.76795028,156
7.858342734,29,44,6.781714851,185
5.173211952,23,24.4,6.333956851,134
2.408493855,13,57.7,5.701059852,257
2.085519519,6,64,4.510444404,264
7.034431349,11,43.4,8.741009609,183
5.790625825,24,26.6,7.228661584,141
7.077415519,26,34.6,1.079481014,156
6.923613477,25,34.1,5.109048926,152
7.294957437,27,22,3.359564522,130
6.447533631,29,31,4.667754436,146
6.795128144,23,25.2,4.624288726,131
6.23049723,28,34.7,4.823294553,158
1.624419737,11,51.1,1.669458088,217
3.160888591,6,50.9,3.542610793,224
8.613671581,29,25,3.375462548,138
5.673708464,23,26.2,1.407692521,134
2.561918173,7,61.4,6.771964102,270
1.073634949,9,23.9,6.255422693,276
1.875433504,12,51,4.468111349,214
8.463370708,28,18.1,3.510037974,114
3.977426251,14,67.3,7.779651814,298
7.421300165,25,41.8,2.877230473,182
1.272561646,13,67.3,6.671627215,298
4.754019279,6,64.6,5.299906205,278
1.483788632,9,18,1.899390102,207
5.264207271,23,24.5,2.442787252,134
1.281578928,8,64.5,7.770815755,278
4.102796128,9,49.3,4.511103816,206
6.77276791,23,46.5,2.67331867,188
3.286783714,13,62.9,8.57644142,286
9.579795044,26,23.1,4.059969729,134
1.280484662,14,46.5,6.662573857,197
3.045314695,13,61.2,4.443264806,267
5.395497961,24,34.8,3.574579794,158
6.125553063,31,40.2,3.222057175,174
9.210906463,32,32.7,1.738601158,154
3.007839893,14,19.7,8.96374893,289
7.696978774,32,24.7,4.103253982,132
8.403057689,27,31.7,2.699091572,147
1.654416696,6,58.7,7.988234843,266
9.759596115,27,24.3,4.909661861,134
2.040225573,12,65.4,5.034060048,292
1.357853281,7,57.5,8.897821796,256
4.954078868,8,43,5.591274295,185
1.812780565,9,23.9,8.817810233,207
3.02381425,11,42.3,4.452622939,181
4.237557245,6,46.4,4.723394201,188
8.406999859,23,35.2,1.120518535,157
1.968774439,6,45.4,4.675975224,267
8.781356202,23,19.4,2.650879496,120
6.797282185,31,38.1,8.743086576,171
1.153640176,6,63,2.424095162,264
2.612735002,13,53,7.173911921,215
8.041216361,26,34.9,3.095042694,156
3.545223825,9,50.1,4.400683055,217
5.062669069,23,19.5,4.391771777,129
4.488737929,9,47.3,1.183010738,197
3.481971061,13,65.2,7.347433362,288
2.097207167,9,66.8,7.232478897,300
6.854965356,28,35.8,2.704916157,160
2.504212942,14,46.9,2.790735842,201
8.123383356,27,39.2,5.898751459,174
7.511260421,25,23.2,1.248582611,126
5.258159697,31,35.2,5.212296689,161
9.650261649,24,24.9,8.342770022,136
9.898454624,22,32.8,8.763580008,154
1.511984118,7,46.7,2.683079321,195
6.884462687,24,41.5,3.304713803,179
9.587284889,32,41.7,7.190390068,182
9.76049614,11,34.8,7.582119112,164
4.274361124,6,57.4,2.603030519,256
1.728928961,6,50.2,5.696168803,206
9.397148809,23,32.4,2.925235086,155
9.314921243,32,29.6,8.045551676,147
8.45438913,25,34.6,5.854170908,158
1.28347576,9,46.5,4.066613172,198
7.0415966,30,43.3,3.794219658,187
7.770022176,27,40.9,4.801477898,177
6.300905962,31,37,3.798359006,171
8.044273759,24,33.6,4.283646207,156
7.187281749,24,40.7,1.730869019,184
3.424423559,13,67,5.792708396,288
7.986934802,28,21.2,4.250362621,126
7.334291798,32,38.6,8.470963077,172
6.987764724,31,26.2,4.568169201,139
5.135289187,32,40.6,7.760665884,172
2.962831753,15,51.9,5.783856776,231
7.557786321,29,38,5.834939377,160
3.967238434,4,47,6.877141254,230
4.13156535,11,39.8,5.084349029,181
6.241984638,32,43.2,2.458139501,183
1.901968443,5,62.9,7.243227998,286
1.402385019,13,50.8,7.791848813,214
7.61758712,23,56.2,3.951254627,118
1.633623354,16,52.6,2.892495834,229
6.753446668,26,35.5,5.586480737,162
8.810625002,25,41.5,3.806349346,183
2.004648609,4,56.3,6.387006837,264
7.477474664,11,42.3,4.57693502,183
1.480343901,10,54.6,6.910874931,243
8.842910506,26,24.9,2.442906105,133
1.610022364,4,61.2,5.740996552,275
7.816868196,28,20.3,3.414145433,121
3.915693443,3,64.5,5.161861341,293
4.406640178,11,68.5,7.323050906,293
8.721414763,24,33.2,5.170174715,154
3.594685648,11,55.2,7.240284835,260
9.84437341,28,39.1,7.488627771,173
8.271908193,28,19.3,4.559514917,116
2.772139119,12,49.5,7.658164459,204
6.924449604,22,22.2,3.438773128,130
3.789118909,5,61.3,8.174421248,277
8.882404735,26,51.8,8.542362452,157
5.688564033,24,22.8,3.272115749,129
8.250473234,24,35.8,4.554288611,158
6.331561901,28,18,3.189742732,123
8.494242338,27,39.8,1.36653171,177
1.494581938,15,46.2,5.377387518,273
9.654987403,28,65.2,3.464388667,173
9.544397966,9,55.8,7.420098541,253
4.630354512,5,62.1,5.127860111,283
1.852217675,7,44.7,2.153563077,194
8.351105721,32,32,8.915772977,152
4.463589106,9,48.3,3.498251094,208
2.963298204,4,66.4,6.177426034,292
6.688369879,28,28.1,4.057857698,145
8.229714048,28,27.8,7.136621286,146
2.572866688,12,48.1,7.528614416,200
5.173265438,23,45,3.328768417,186
1.493261028,12,51.1,2.06840645,217
2.059152684,9,50.2,3.003707642,218
3.129940715,6,57,5.912578279,245
8.930196472,6,69.7,8.947143032,257
8.608706663,32,41.3,8.762012421,179
3.547661907,12,55.6,8.378428642,259
4.427015144,14,23.8,5.463813758,275
7.567136574,29,32.6,7.324023076,149
3.965449444,13,66.7,6.389288806,299
4.646142668,14,67.3,5.937379182,291
6.149235263,29,36.3,4.408163363,161
7.300351344,24,22.3,2.083856697,126
8.511464571,32,38.3,5.824920297,172
1.420676832,9,53.3,7.238938606,240
9.429239616,28,20.6,1.869483076,121
2.206705601,16,50.9,4.2039571,230
7.11609103,24,29.7,2.949709794,143
1.415919112,10,46.3,3.282780196,196
5.509805867,32,38.7,3.060765444,173
4.71214412,13,58.5,7.767311506,265
5.099186494,31,44.7,1.311988585,158
7.293666645,24,27.5,3.181291811,140
1.343101888,6,45.6,6.989876303,188
8.736130851,31,40.5,8.293875702,180
1.430407559,10,53.7,4.749723237,220
5.852865745,26,39.1,2.75761184,171
3.447939526,6,53.6,2.878270246,223
2.28223449,15,55.5,2.932548455,248
1.542159618,13,66.6,8.046154257,294
1.568084524,6,54.8,5.183362185,252
6.651757814,26,37.6,7.162126595,170
4.256765348,6,52.2,2.754777633,226
2.443139015,9,58.2,1.65322002,268
7.351954403,27,35,6.19759196,157
5.145078483,23,22.9,2.080441298,133
7.290197541,31,41.6,8.779538756,182
2.374250362,7,52.7,1.342644171,229
4.929183574,14,65.9,6.336113479,290
2.620168842,9,70,8.290141641,301
1.911668055,4,64.3,5.632051792,287
2.170260497,9,56.3,8.920191308,255
4.978175244,13,41.7,6.511747776,285
2.255061025,9,47.2,7.14928399,196
2.286319659,14,63.9,6.663393122,288
7.287952198,29,21.1,4.689038883,125
6.263448479,22,38.5,8.297712329,169
2.48968818,15,61,5.982042005,275
1.535485996,15,45.6,3.213358075,188
6.639783106,31,21.6,3.076306555,131
2.713309298,15,55.4,2.377741344,248
3.307287831,7,42.4,1.139996411,183
7.414279395,24,26,5.429892281,136
4.475425682,4,52.7,8.949436291,235
9.974440555,27,48.5,2.647507466,123
6.800745103,29,36.4,2.957360455,161
7.680257593,25,43.8,2.674214669,186
9.913547561,26,22.1,1.261148618,131
7.935628781,25,20,2.545706535,126
8.615574968,11,34.6,2.443806083,163
9.289454735,23,19.8,4.694167408,118
2.060447209,14,49.4,3.804074771,200
5.440673498,28,28,1.455478752,138
8.492951059,28,20,4.907590567,119
4.42726816,14,66.3,8.787883944,292
1.576732325,9,55.3,4.60327984,255
8.535019153,27,23.1,3.778514135,131
1.994080159,9,60.9,2.477059167,267
1.506538391,13,64.9,8.315027974,280
4.869548039,13,57,7.188032627,253
3.643056501,9,48.4,2.198562473,196
3.49117666,13,64.9,5.254669493,286
9.354110469,26,35.6,6.673548608,159
8.115193148,27,25.4,8.211149475,134
7.233328293,28,28.8,4.083914149,147
8.434875623,28,28.6,5.32661696,145
1.242219916,12,54.3,5.358563029,248
5.758861651,23,24,4.832010653,133
7.535428216,26,24.5,2.31305089,137
7.565835196,30,31.8,4.495488356,150
4.417489458,8,66.1,6.337841774,288
3.453971715,12,53.6,5.976196242,223
6.769536177,23,22.8,1.820853023,131
9.221113739,32,30.7,1.801029704,150
5.927850952,24,39.1,8.740380669,181
7.362349138,23,31.6,2.348638548,151
1.212213661,4,48.1,8.789701921,202
8.808658295,25,37.2,2.995827576,159
5.209662902,25,36.6,3.20533383,170
6.625601815,32,26.1,1.20941022,139
7.494520333,29,25.8,3.85759414,133
6.989148264,32,34.8,2.361457474,154
8.692709757,23,34.9,8.308754438,156
8.509916025,32,45.9,7.4963419,189
6.029483003,32,32.5,4.378267526,153
6.781255373,24,26.6,6.680529323,141
7.22217768,9,44.2,3.173998295,185
6.305436183,31,21,4.045310983,130
9.977249811,25,38.9,1.300102723,165
5.56300651,31,40.2,2.291945068,183
9.314524645,29,16.9,3.905096063,119
3.30522031,7,52.6,3.332172446,229
3.915957787,9,51.4,6.801792639,220
4.862544089,12,55,6.548988951,253
7.593426628,26,35.7,7.563555478,163
2.371155579,14,65.2,7.027494686,297
7.826437924,23,30.1,6.128353276,150
8.199256954,24,60.6,4.660196481,120
1.887091403,13,45.9,3.681778743,196
6.487162422,31,19,1.205499918,123
7.341311672,9,44.3,6.582349146,185
1.650399193,7,55.3,5.042378347,195
4.320378758,9,45,1.92108191,196
8.318018573,27,33.2,5.770116629,154
7.915196138,29,29.2,1.69037144,148
7.831954984,23,66.8,4.308404518,142
1.445448888,15,45.6,4.882345258,188
7.451817146,24,40.6,8.363452969,184
3.979557816,11,64.9,6.37206862,285
8.201442494,32,38.4,3.46814178,172
3.090150073,11,64,7.288264335,282
1.449620381,6,58.9,8.590218017,267
1.046835922,6,48.5,4.437906251,206
6.518761495,29,36.1,2.926492914,160
2.445370866,14,58.9,6.230373659,258
5.409649776,24,35.3,6.091414672,159
7.6991094,23,37,4.776932986,159
6.190944866,24,37,4.418072097,160
7.171815137,27,33.4,8.638639338,155
6.269792493,32,33.1,1.284295709,154
4.08855981,15,66.9,1.141544869,208
9.201169167,24,24.9,6.830574189,138
8.148858928,28,27.8,7.354460332,146
8.686928098,27,35.9,7.719825071,156
5.740366098,28,29,8.584284507,141
4.924110488,9,23.7,1.052541113,207
4.328308003,14,66,6.643891337,273
7.615522212,29,43.2,2.945120638,187
1.649081348,12,48.6,5.753139278,201
1.720701351,14,59.2,4.280381609,260
7.922819247,30,39.2,4.841330022,178
4.755986273,13,61.6,7.428159859,273
9.939428499,32,29.9,1.967346794,150
3.305571722,15,43,2.554472043,232
6.846075348,32,23.1,8.662152885,134
7.255355612,24,18.8,2.807222937,118
7.083760628,31,21.2,1.006923258,132
2.471792369,4,21.3,7.952926385,277
6.440710919,29,22.9,2.984324628,133
3.259300209,12,51.7,8.271067838,223
7.409649589,29,26.3,2.423796271,134
1.259340371,14,57.7,6.605709426,263
3.366119925,6,64.5,7.361902426,287
2.742601974,7,47.2,7.717200507,194
5.778352806,24,20.3,4.540309131,128
8.279619669,27,20.4,4.64417728,129
7.609627477,29,30,2.068950704,148
8.508981498,28,21.2,1.121232581,124
1.719162415,9,50.2,1.433547111,208
8.055461556,32,43.2,7.070248483,187
5.847928745,23,46.8,6.860913346,189
5.484970739,24,24.1,3.294205897,131
1.665013492,14,42.4,3.017770075,200
2.165738727,4,65,7.589557781,288
2.555194576,13,55.8,3.805320565,236
8.690137781,27,18.7,1.771278358,125
8.146786971,32,42.5,7.706307838,180
1.791593986,13,46.1,7.515114703,193
3.430964763,10,57,8.540242664,254
2.844271848,8,51.2,8.807860434,225
9.22872937,28,29.2,3.07247398,148
7.785081189,22,23.2,4.503141929,131
8.076353799,27,32.6,8.174243388,156
9.034267477,31,22.9,2.320571229,131
7.049552078,32,37.4,7.4445581,174
3.77533819,11,66.4,5.099962105,293
1.672279176,11,51.4,4.673130019,222
4.907309989,11,67.4,7.059395028,293
2.927990909,8,63.3,7.377759071,283
2.813731168,4,54.5,4.89241129,229
6.281903613,25,32,1.408237949,150
4.780370482,13,62.8,6.234534531,280
1.870846349,6,51.7,6.522176552,209
7.00097232,32,26,2.605567145,133
3.895787333,8,65.2,2.450160527,240
6.663868216,32,23.1,2.41108476,131
6.117156815,31,17.4,3.389447313,125
4.211169799,6,48.5,3.162546343,204
5.819298178,13,65.8,6.295688382,295
1.380931194,15,45,5.439655939,190
3.307305198,12,51.2,1.878205546,225
7.697929183,30,45.9,8.887756158,189
8.61644647,27,38,8.757636832,177
6.610732014,32,41,1.602627491,178
2.661893994,4,63.9,7.479394467,288
7.198460811,23,35.4,7.200928983,159
3.739680125,13,66,6.147300825,291
1.567470552,12,54.9,6.50679937,237
1.239080048,9,49.6,3.268175576,209
6.811104951,32,40.6,2.920492776,180
1.305910649,4,59.3,5.963709326,270
8.099387833,25,18.6,4.506203239,118
1.372325933,6,50.5,1.388700785,228
6.759284015,31,43.9,8.817094275,184
7.18534514,25,21.5,3.642090148,124
8.648036321,27,21.8,2.376199609,129
7.993052827,27,30.1,5.46504101,146
7.040450521,28,45.7,3.456822823,115
8.010731339,31,31.6,6.225668485,154
4.707344894,9,49.4,6.169783592,206
8.307220651,24,31.2,1.554298448,153
5.832145313,13,63.6,7.92867942,279
5.090238735,28,28.7,8.975323135,141
1.796741739,14,46.9,4.541777391,199
7.350138405,29,38.8,2.049139758,173
1.233041285,14,63.4,8.794316864,287
4.571858879,11,64.8,6.85055544,295
1.860332491,8,43,7.236757199,190
9.166103881,27,42.3,7.878688176,178
2.92211552,4,52.8,2.648540062,236
8.249465853,27,22.9,2.450696722,133
2.954760599,13,19.2,7.714712465,276
3.977971259,5,63.5,7.800536175,278
9.766537901,27,19.4,1.77399701,124
2.765460229,7,61.4,1.427765395,270
1.35261415,14,49.3,6.7503672,206
7.576044258,22,38,4.597306055,167
6.571429081,32,36.8,1.406115415,170
9.286584846,28,22,1.589663549,123
2.163970554,8,50.8,4.360129232,226
1.425037149,4,64.4,8.513921489,277
4.286384788,6,56.6,3.645998784,262
3.895496803,10,45.9,4.456428017,195
7.591800736,24,28.3,3.630104977,145
2.37173512,13,51,8.795865748,216
3.777932542,7,57.3,7.935317271,264
1.507896713,16,65.9,6.68215641,288
1.711819293,7,59.1,7.583470562,259
4.319248371,14,59.6,6.091015151,273
1.489323535,7,57.7,6.962049963,271
6.335914146,22,49,6.58233687,170
2.518763168,4,53,2.514407764,231
8.974981379,30,27.1,8.207703772,137
4.194805177,13,64.9,5.408606297,288
1.247249462,4,59.3,8.873434363,264
7.48930562,6,57.3,2.347508146,255
6.700283221,29,39.8,1.258947908,173
