open_hrs,footfall,hdd,daylight_hrs,elec_usage
3,66,1.9,15.1,3021
0,0,2.2,15,2208
0,0,2.8,15,2121
8,1082,1.5,14.9,4778
8,1219,0.2,14.9,5245
8,1300,0.3,14.8,5010
8,1137,0.6,14.7,5598
3,184,0.1,14.7,3094
0,0,0.3,14.6,2358
8,2196,0.3,14.6,5437
8,1986,0.4,14.5,5405
8,1692,0.5,14.5,5021
8,1534,0.7,14.4,4982
8,1490,0.5,14.3,4861
3,87,0.9,14.3,3169
0,0,0.3,14.2,2380
8,1743,0.5,14.1,5276
8,1428,0.9,14.1,4825
8,1282,1.5,14,4879
8,1064,1.9,14,4795
8,818,1.3,13.9,4669
3,54,1.5,13.8,2791
0,0,2.2,13.8,2148
8,704,0.7,13.7,4652
8,896,2.4,13.6,4764
8,783,1.6,13.6,4735
8,691,2.4,13.5,4764
8,383,2.4,13.5,4767
3,48,1.7,13.4,2872
0,0,0.4,13.3,2239
8,633,1.6,13.3,5142
8,769,0.8,13.2,4887
8,880,3.4,13.1,4849
8,762,2.8,13.1,5233
8,746,2,13,4959
3,59,2.2,12.9,2971
0,0,0.7,12.9,2054
8,1182,2.1,12.8,5347
13.5,1107,4.9,12.7,5354
13.5,1334,2.8,12.7,5454
13.5,1212,2.5,12.6,5531
12.5,877,1.6,12.5,5231
8,58,2.6,12.5,3035.5
0,0,2.5,12.4,2487
13.5,1519,4.3,12.3,5303
13.5,1437,4.8,12.3,5193
13.5,1553,4.9,12.2,5441
13.5,1579,3.5,12.2,5479
12.5,1493,4.1,12.1,5768
8,255,5.5,12,3515
0,0,4.7,12,2700
13.5,4482,5.6,11.9,6387
13.5,5200,6.5,11.8,6321
13.5,4833,3.8,11.8,6604
13.5,4388,4.8,11.7,6629
12.5,2745,4.4,11.6,6680
8,185,4,11.6,3644
0,0,2.4,11.5,2881
13.5,6643,4.5,11.4,7275
13.5,6596,5,11.4,7263
13.5,6346,7.4,11.3,7164
13.5,5989,6.4,11.2,7233
12.5,3282,6.4,11.2,6732
8,151,6.8,11.1,3916
0,0,6.1,11,2778
13.5,7055,4.3,11,7558
13.5,7376,4.3,10.9,7739
13.5,6372,3.1,10.8,7720
13.5,6608,4.5,10.8,6944
12.5,3188,8.3,10.7,6355
8,173,8,10.6,3732
0,0,7.8,10.6,2306
13.5,7759,6.8,10.5,7062
13.5,7727,6.5,10.4,7102
13.5,6706,5.5,10.4,6988
13.5,6917,5.5,10.3,6997
12.5,3678,5.6,10.2,6504
8,231,4.8,10.2,3913
0,0,3.7,10.1,2461
13.5,8075,3.9,10,7208
13.5,7570,3.4,10,7266
13.5,7521,3.5,9.9,7342
13.5,7427,3.5,9.9,7326
12.5,3632,8.7,9.9,6508
8,177,11.9,9.8,3314
0,0,9.3,9.7,2368
13.5,754,8.5,9.6,5166
13.5,8664,9,9.5,7235
13.5,6963,9.6,9.5,7100
13.5,6393,11.8,9.4,6983
12.5,4519,11.5,9.4,6471
8,312,11.4,9.3,3488
0,0,10.1,9.2,2469
14.5,9886,9.8,9.2,7443
14.5,10220,8.3,9.1,7470.5
14.5,9404,6.9,9.1,7293
14.5,8648,7.2,9,7231
13.5,4359,7.8,8.9,6422
8,746,10.5,8.9,4245
0,0,8.5,8.8,2627
14.5,8754,3.9,8.8,7318
14.5,8743,4.3,8.7,7329
14.5,8477,5.1,8.7,7254
14.5,7504,6.6,8.6,7251
13.5,3580,7.9,8.6,6579
8,797,10.1,8.5,4788
0,0,9.5,8.5,2566
14.5,8597,4.7,8.4,7268
14.5,9080,6.7,8.4,7381
14.5,8366,7.8,8.3,7317
14.5,6795,8.9,8.3,7210
13.5,3298,11,8.2,6516
8,813,12.7,8.2,4910
0,0,10.9,8.1,2490
14.5,9093,10,8.1,7307
14.5,9586,11.8,8,7341
14.5,9043,12.5,8,7284
14.5,7704,12.4,8,7439
13.5,3832,10.7,7.9,6721
8,999,10.5,7.9,4871
0,0,8.1,7.9,2449
14.5,10218,9.8,7.8,7441
14.5,10590,11.2,7.8,7587
14.5,11022,12.5,7.8,7628
14.5,9398,11.5,7.7,7535
13.5,5092,9.7,7.7,6798
8,1443,10.3,7.7,4513
0,0,8.9,7.7,2476
14.5,11375,11.3,7.6,7886
14.5,11258,9.7,7.6,7828
14.5,9614,8.7,7.6,7564
14.5,7758,9.3,7.6,7353
13.5,3561,8.4,7.6,6559
8,830,9.1,7.6,4688
0,0,9.1,7.5,2528
14.5,4652,9.5,7.5,6723
14.5,4214,8.5,7.5,6780
14.5,3300,6.4,7.5,6698
14.5,2622,8.4,7.5,6296
13.5,699,8.6,7.5,4132
0,0,3.9,7.5,2707
0,0,7.7,7.5,2839
0,0,7.9,7.5,2313
0,0,9.3,7.5,2284
